,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
10,single,1st phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,139.0,Portuguese,Basic Education 2nd Cycle,Basic Education 3rd Cycle,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",130.6,1,0,0,1,female,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Non-Dropout
11,single,1st phase - general contingent,1,Nursing,daytime,Secondary education,136.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Unskilled Workers,Unskilled Workers,119.3,1,0,0,1,female,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Non-Dropout
12,single,1st phase - general contingent,2,Basic Education,daytime,Secondary education,133.0,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,Administrative staff,Unskilled Workers,130.2,1,0,0,1,female,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
13,single,Short cycle diploma holders,1,Tourism,daytime,Professional higher technical course,110.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",111.8,1,0,0,1,female,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Non-Dropout
14,single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,149.0,Portuguese,Basic Education 2nd Cycle,Basic education 1st cycle,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",137.1,1,0,0,1,female,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Non-Dropout
15,single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,127.0,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,Unskilled Workers,Intermediate Level Technicians and Professions,120.7,1,0,0,1,female,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
16,single,3rd phase - general contingent,1,Social Service,daytime,Secondary education,137.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,137.4,1,0,0,1,female,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Non-Dropout
17,single,2nd phase - general contingent,2,Nursing,daytime,Secondary education,135.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,127.3,1,0,0,1,female,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Non-Dropout
18,single,1st phase - general contingent,1,Equinculture,daytime,Secondary education,137.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",136.3,1,0,0,1,female,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Non-Dropout
19,single,1st phase - general contingent,1,Basic Education,daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",124.6,1,0,0,1,female,0,18,0,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Non-Dropout
20,single,1st phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary education,122.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120.3,0,0,0,1,female,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Non-Dropout
21,single,3rd phase - general contingent,4,Oral Hygiene,daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",121.8,1,0,0,1,female,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Non-Dropout
22,single,1st phase - general contingent,4,Nursing,daytime,Secondary education,142.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Legislative/Executive/Directors,Legislative/Executive/Directors,125.5,1,0,0,1,female,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Non-Dropout
23,single,1st phase - general contingent,4,Advertising and Marketing Management,daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",114.9,1,0,0,1,female,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Non-Dropout
24,single,1st phase - general contingent,1,Nursing,daytime,Secondary education,126.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",123.9,0,0,0,1,female,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Non-Dropout
25,single,1st phase - general contingent,1,Social Service,daytime,Secondary education,151.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Unskilled Workers,Unskilled Workers,157.0,1,0,1,1,female,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Non-Dropout
26,single,2nd phase - general contingent,2,Social Service,daytime,Secondary education,115.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,116.4,1,0,0,1,female,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Non-Dropout
27,single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,138.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,131.0,1,0,0,1,female,0,18,0,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Non-Dropout
28,single,1st phase - general contingent,1,Management,daytime,Secondary education,135.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,Unskilled Workers,Unskilled Workers,122.1,1,0,0,1,female,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Non-Dropout
29,single,2nd phase - general contingent,2,Nursing,daytime,Secondary education,127.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Legislative/Executive/Directors,Armed Forces Professions,118.8,1,0,0,1,male,0,19,0,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Non-Dropout
30,single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization course,150.0,Portuguese,Higher Education - Master,Higher Education - Doctorate,Administrative staff,Specialists in Intellectual and Scientific Activities,150.0,0,0,0,1,male,0,21,0,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Non-Dropout
31,single,Change of institution/course,1,Communication Design,daytime,Secondary education,125.0,Portuguese,Professional higher technical course,Higher Education - Degree,Specialists in information and communication technologies (ICT),"Specialists in finance, accounting, administrative organization, public and commercial relations",130.0,1,0,0,1,male,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Non-Dropout
32,single,1st phase - general contingent,1,Management,daytime,Secondary education,143.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",138.8,0,0,0,0,male,0,18,0,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Non-Dropout
33,single,3rd phase - general contingent,1,Social Service (evening attendance),evening,Secondary education,138.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",134.5,1,0,0,1,female,0,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Non-Dropout
34,single,1st phase - general contingent,1,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Higher Education - Bachelor's,Basic education 1st cycle,Intermediate Level Technicians and Professions,Unskilled Workers,131.4,0,0,0,1,male,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Non-Dropout
35,single,Over 23 years old,1,Biofuel Production Technologies,daytime,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle,Basic education 1st cycle,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",102.5,0,0,1,0,male,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
36,single,Over 23 years old,1,Informatics Engineering,daytime,11th year of schooling - not completed,133.1,Portuguese,Unknown,Basic education 1st cycle,Student,Student,128.8,1,0,0,1,male,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
37,single,Change of course,1,Management,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",122.9,0,0,0,1,female,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
38,divorced,Over 23 years old,1,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Unskilled Workers,Intermediate Level Technicians and Professions,113.9,1,0,0,1,female,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Non-Dropout
39,single,Technological specialization diploma holders,1,Equinculture,daytime,Technological specialization course,120.0,Spanish,Higher Education - Master,Higher Education - Master,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120.0,0,0,1,0,female,0,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
40,single,1st phase - general contingent,5,Journalism and Communication,daytime,Secondary education,126.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,121.1,0,0,1,1,female,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
41,single,1st phase - general contingent,2,Management,daytime,Secondary education,133.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",120.4,1,0,0,1,female,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Non-Dropout
42,single,1st phase - general contingent,6,Nursing,daytime,Secondary education,103.0,Portuguese,Secondary Education - 12th Year,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,100.6,1,1,0,1,female,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Non-Dropout
43,single,2nd phase - general contingent,1,Journalism and Communication,daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",121.4,0,0,0,0,female,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
44,single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,109.7,0,0,0,1,female,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
45,single,2nd phase - general contingent,1,Management (evening attendance),evening,Secondary education,154.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",134.1,0,0,0,1,female,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Non-Dropout
46,single,2nd phase - general contingent,2,Social Service,daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,127.6,1,0,0,1,female,0,18,0,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Non-Dropout
47,single,2nd phase - general contingent,6,Nursing,daytime,Secondary education,132.0,Portuguese,Basic education 1st cycle,Basic Education 3rd Cycle,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",132.4,1,0,0,1,female,1,22,0,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Non-Dropout
48,single,Technological specialization diploma holders,1,Social Service (evening attendance),evening,Technological specialization course,130.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,133.4,0,0,0,1,female,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Non-Dropout
49,single,1st phase - general contingent,1,Social Service,daytime,Secondary education,139.0,Portuguese,Basic education 1st cycle,Basic Education 2nd Cycle,Unskilled Workers,Unskilled Workers,126.1,0,0,0,1,female,1,19,0,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Non-Dropout
50,single,Over 23 years old,1,Tourism,daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",113.5,0,0,0,1,female,1,24,0,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Non-Dropout
51,single,1st phase - general contingent,1,Nursing,daytime,Secondary education,139.0,Portuguese,Basic education 1st cycle,Basic Education 2nd Cycle,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",121.3,1,0,0,1,female,1,19,0,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Non-Dropout
52,single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",121.8,1,0,0,1,female,1,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Non-Dropout
53,single,1st phase - general contingent,3,Equinculture,daytime,Secondary education,167.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Other Situation,Other Situation,159.3,0,0,0,1,female,0,19,0,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Non-Dropout
54,single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Unskilled Workers,Unskilled Workers,120.0,0,0,0,1,female,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
55,single,1st phase - general contingent,1,Nursing,daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129.1,1,0,0,1,female,0,18,0,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Non-Dropout
56,married,Holders of other higher courses,1,Tourism,daytime,Higher education - degree,130.0,Portuguese,Secondary Education - 12th Year,Higher Education - Degree,Administrative staff,Intermediate Level Technicians and Professions,130.0,0,0,0,1,female,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
57,single,Over 23 years old,1,Equinculture,daytime,Higher education - degree (1st cycle),129.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,155.3,1,0,0,1,female,0,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
58,single,2nd phase - general contingent,1,Nursing,daytime,Secondary education,141.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,139.8,1,0,0,1,female,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Non-Dropout
59,single,1st phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary education,125.0,Portuguese,Basic Education 2nd Cycle,Basic education 1st cycle,Administrative staff,Unskilled Workers,115.2,1,0,0,1,female,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Non-Dropout
60,single,1st phase - general contingent,2,Nursing,daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,114.9,0,0,0,1,female,0,18,0,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Non-Dropout
61,single,Technological specialization diploma holders,1,Social Service,daytime,Technological specialization course,130.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,Unskilled Workers,Unskilled Workers,131.9,0,0,0,1,female,1,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Non-Dropout
62,single,2nd phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary education,133.0,Portuguese,Secondary Education - 12th Year,Basic education 1st cycle,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",126.0,1,0,0,1,male,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Non-Dropout
63,single,2nd phase - general contingent,1,Communication Design,daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Intermediate Level Technicians and Professions,Administrative staff,130.2,1,0,0,1,male,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Non-Dropout
64,single,Change of course,1,Communication Design,daytime,Secondary education,116.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120.9,0,0,0,1,male,0,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Non-Dropout
65,divorced,Transfer,1,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126.0,1,0,0,1,male,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
66,single,1st phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary education,139.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,128.2,1,0,0,1,male,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Non-Dropout
67,single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization course,130.0,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,130.0,1,0,0,1,male,0,23,0,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Non-Dropout
68,single,1st phase - general contingent,3,Management,daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.1,0,0,1,1,male,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
69,single,Over 23 years old,1,Tourism,daytime,Secondary education,160.0,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,100.0,0,0,0,1,male,0,26,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Non-Dropout
70,single,2nd phase - general contingent,1,Management,daytime,Secondary education,148.0,Portuguese,Basic Education 2nd Cycle,Basic education 1st cycle,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",134.0,0,0,0,1,male,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Non-Dropout
71,single,2nd phase - general contingent,1,Nursing,daytime,Secondary education,150.0,Portuguese,Basic education 1st cycle,Basic Education 3rd Cycle,Installation and Machine Operators and Assembly Workers,Administrative staff,130.8,0,0,0,1,male,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Non-Dropout
72,single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary education,141.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,135.8,1,0,0,1,male,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
73,single,2nd phase - general contingent,4,Tourism,daytime,Secondary education,118.0,Portuguese,Basic Education 2nd Cycle,Basic education 1st cycle,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",111.7,1,0,0,1,male,0,18,0,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout
74,single,1st phase - general contingent,2,Journalism and Communication,daytime,Secondary education,142.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Unskilled Workers,Unskilled Workers,132.9,1,0,0,1,male,0,18,0,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Non-Dropout
75,single,2nd phase - general contingent,3,Management,daytime,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",115.5,1,0,1,1,male,0,18,0,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout
76,single,3rd phase - general contingent,4,Tourism,daytime,Secondary education,106.0,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",106.0,1,0,0,1,male,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
